Edad,Ingresos_Mensuales,Antiguedad_Laboral,Deuda_Actual,Historial_Credito,Tipo_Contrato,Tiene_Aval,Vivienda_Propia,Concede_Prestamo
68,2940,9,998,Regular,Becario,False,False,Si
69,1899,9,344,Bueno,Indefinido,False,False,Si
65,4624,6,1655,Malo,Autonomo,False,True,No
65,2660,7,415,Regular,Temporal,True,True,Si
39,4569,3,1126,Bueno,Temporal,False,False,Si
30,3053,10,2338,Regular,Indefinido,True,True,Si
29,4123,5,297,Malo,Becario,False,True,No
36,1006,0,2444,Regular,Indefinido,False,False,No
59,5150,16,4046,Malo,Temporal,False,False,No
25,3408,5,3759,Regular,Temporal,True,False,Si
54,2282,5,3321,Malo,Autonomo,True,False,No
29,1851,15,2650,Malo,Indefinido,False,False,No
66,2887,10,2473,Regular,Indefinido,False,False,Si
21,1668,14,2513,Bueno,Autonomo,True,False,Si
32,2495,4,3917,Bueno,Autonomo,False,False,Si
69,2489,24,2027,Regular,Indefinido,False,False,Si
54,1619,1,4486,Malo,Temporal,True,True,No
51,4319,3,1682,Regular,Becario,True,False,Si
47,1780,16,3403,Regular,Indefinido,False,False,Si
43,2784,0,1785,Regular,Indefinido,False,False,Si
52,1193,2,3867,Bueno,Becario,True,True,No
64,4143,11,3133,Bueno,Becario,False,True,Si
60,5117,4,2848,Bueno,Becario,True,True,Si
66,886,9,3792,Regular,Becario,False,True,No
40,1970,8,1544,Malo,Indefinido,True,False,Si
19,2671,6,551,Bueno,Indefinido,False,True,Si
20,3995,14,1919,Regular,Indefinido,True,False,Si
64,5419,10,2626,Bueno,Temporal,True,False,Si
21,5260,18,1434,Regular,Becario,False,True,Si
59,3822,25,4296,Bueno,Becario,False,True,Si
29,5106,15,1974,Malo,Autonomo,True,False,Si
53,4080,13,4341,Bueno,Temporal,False,True,Si
23,4384,11,757,Regular,Temporal,True,False,Si
56,1023,2,1541,Malo,Temporal,False,True,No
39,3183,0,1735,Malo,Indefinido,False,True,No
63,2375,12,1960,Regular,Autonomo,False,False,Si
40,3226,8,2946,Regular,Becario,False,True,Si
64,4546,24,2623,Malo,Autonomo,False,False,Si
32,1895,0,2136,Regular,Becario,False,True,No
32,3811,18,2013,Regular,Autonomo,False,False,Si
59,4718,14,1378,Regular,Autonomo,True,True,Si
49,2207,17,481,Regular,Indefinido,True,True,Si
58,2595,2,1237,Bueno,Becario,False,True,Si
60,4658,21,3996,Bueno,Becario,True,True,Si
35,5088,9,140,Regular,Becario,True,True,Si
51,1919,7,1572,Regular,Autonomo,False,False,Si
23,3756,12,3760,Regular,Temporal,False,True,Si
59,959,2,3320,Bueno,Becario,True,True,No
23,4794,13,2713,Regular,Indefinido,True,True,Si
62,5343,15,2220,Bueno,Indefinido,False,True,Si
38,828,6,1181,Regular,Becario,True,False,No
33,5342,12,4428,Bueno,Temporal,True,False,Si
45,2601,2,2790,Regular,Becario,False,True,No
68,4390,15,1868,Bueno,Becario,False,True,Si
60,3813,2,2419,Regular,Indefinido,True,False,Si
63,1963,23,3191,Bueno,Indefinido,True,True,Si
46,3648,24,2209,Bueno,Indefinido,True,False,Si
53,4897,13,846,Bueno,Autonomo,True,False,Si
18,3090,13,3176,Regular,Temporal,True,False,Si
35,3166,8,4039,Bueno,Temporal,False,False,Si
48,1330,11,2061,Malo,Becario,True,False,No
37,755,12,2721,Malo,Becario,False,False,No
70,1815,9,2626,Regular,Temporal,False,False,No
43,3314,9,4022,Malo,Temporal,False,False,No
68,3918,11,932,Malo,Temporal,True,True,Si
47,2417,14,2386,Malo,Indefinido,False,False,No
37,2682,8,1262,Regular,Becario,True,False,Si
48,5469,12,4377,Regular,Becario,True,False,Si
