Horas_Estudio,Faltas,Nota_Media,Tutorias_Semanales,Participacion,Tipo_Estudio,Entrega_Completa,Acceso_Plataforma,Aprueba
5,2,8,1,Media,Grupo,False,False,Si
11,14,5,4,Alta,Individual,True,True,Si
7,8,4,3,Media,Grupo,False,True,No
3,6,4,2,Media,Grupo,False,False,No
11,8,6,2,Media,Grupo,False,False,No
11,3,6,0,Media,Mixto,True,True,Si
7,4,10,4,Media,Individual,True,False,Si
2,4,1,4,Alta,Individual,True,False,No
2,10,8,0,Baja,Mixto,False,False,No
5,2,1,2,Baja,Grupo,True,True,No
1,9,1,1,Alta,Mixto,False,True,No
1,8,7,4,Media,Mixto,True,False,No
7,4,10,3,Alta,Mixto,True,True,Si
3,10,4,2,Media,Individual,True,True,No
2,0,7,3,Media,Grupo,False,True,No
11,4,8,0,Media,Grupo,True,False,Si
3,10,3,2,Baja,Individual,True,True,No
9,11,10,2,Media,Grupo,False,False,Si
8,8,8,3,Alta,Individual,False,False,Si
0,1,4,4,Media,Individual,False,True,No
2,7,9,3,Baja,Individual,False,False,No
7,5,7,2,Alta,Individual,True,False,Si
7,4,7,4,Alta,Individual,False,False,Si
12,6,9,0,Media,Mixto,False,False,Si
8,5,10,3,Media,Individual,True,False,Si
4,7,8,0,Alta,Mixto,True,True,Si
0,8,7,0,Alta,Individual,False,True,No
2,7,5,4,Media,Grupo,False,False,No
8,2,7,1,Baja,Mixto,True,True,Si
12,13,7,2,Baja,Mixto,False,True,No
4,13,10,4,Baja,Grupo,True,False,No
5,5,9,4,Media,Grupo,True,True,Si
3,13,7,0,Alta,Grupo,False,False,No
12,13,3,3,Baja,Individual,False,True,No
7,1,9,3,Alta,Individual,False,True,Si
12,4,6,4,Media,Mixto,True,False,Si
8,6,6,3,Baja,Individual,True,True,Si
4,3,2,3,Baja,Mixto,True,False,No
4,14,1,0,Alta,Individual,False,False,No
2,3,9,3,Media,Individual,True,True,Si
6,9,4,3,Baja,Individual,True,False,No
7,4,1,3,Baja,Mixto,True,True,No
5,9,5,3,Media,Grupo,False,True,No
7,1,4,3,Media,Mixto,False,False,No
10,6,5,0,Media,Mixto,True,False,Si
4,12,4,4,Baja,Individual,True,False,No
11,12,3,0,Baja,Mixto,True,False,No
0,9,6,1,Alta,Grupo,False,False,No
2,12,9,2,Media,Grupo,True,False,No
7,12,5,2,Baja,Grupo,True,True,No
3,13,7,4,Media,Grupo,True,False,No
7,5,5,4,Media,Mixto,False,True,Si
7,0,10,4,Alta,Mixto,True,True,Si
7,14,5,3,Alta,Individual,True,False,Si
1,1,4,4,Alta,Grupo,False,False,No
11,2,7,0,Baja,Mixto,False,False,No
5,3,8,3,Baja,Grupo,True,False,Si
10,5,1,3,Alta,Individual,False,True,No
10,10,10,0,Alta,Grupo,True,True,Si
3,1,9,1,Media,Individual,False,True,Si
9,0,5,1,Baja,Mixto,False,True,No
0,2,1,2,Baja,Individual,False,True,No
0,2,7,4,Alta,Individual,False,False,No
8,9,2,3,Media,Mixto,True,False,No
0,0,8,3,Media,Individual,False,False,No
1,5,10,1,Alta,Grupo,False,False,No
8,4,8,4,Media,Individual,True,True,Si
3,6,6,3,Media,Mixto,True,False,No
10,4,6,1,Media,Grupo,True,True,Si
1,6,2,2,Baja,Mixto,True,False,No
6,5,7,0,Baja,Mixto,False,False,No
8,3,3,3,Alta,Individual,False,False,No
